InternetService_Fiber optic,PaymentMethod_Electronic check,MonthlyCharges,PaperlessBilling,SeniorCitizen,PaymentMethod_Credit card (automatic),Partner,Dependents,TechSupport_Yes,OnlineSecurity_Yes,Contract_One year,TotalCharges,InternetService_No,Contract_Two year,tenure,Churn
0,0,19.4,0,0,1,1,1,0,0,0,1363.25,1,1,72,0
1,1,96.75,1,0,0,1,0,0,1,0,5238.9,0,0,55,1
0,0,57.95,0,0,1,0,0,1,1,1,3042.25,0,0,52,0
1,1,91.65,1,0,0,0,0,0,0,0,3954.1,0,0,43,0
1,1,76.5,1,1,0,1,0,0,0,0,2868.15,0,0,37,1
0,1,54.6,1,0,0,1,1,1,0,0,3423.5,0,1,64,0
1,1,89.85,0,0,0,1,1,0,1,0,248.4,0,0,3,0
0,0,31.05,0,0,0,0,0,0,1,0,1126.35,0,1,36,0
1,1,100.25,1,0,0,1,1,0,1,0,1064.65,0,0,10,1
0,0,20.65,0,0,0,0,0,0,0,0,835.15,1,1,41,0
1,0,85.2,1,0,1,1,1,1,0,0,2151.6,0,0,27,0
1,0,99.8,1,0,1,1,1,0,0,1,5515.45,0,0,56,0
0,0,20.7,0,0,0,0,0,0,0,0,112.75,1,0,6,0
1,1,74.4,1,0,0,0,0,0,0,0,229.55,0,0,3,1
0,0,50.7,0,0,0,1,1,0,1,0,350.35,0,0,7,0
0,0,20.85,0,0,0,1,1,0,0,0,62.9,1,0,4,0
1,1,88.95,1,0,0,0,0,1,1,0,3027.65,0,1,33,0
1,1,78.05,1,1,0,0,0,0,0,0,2135.5,0,0,27,1
0,0,23.55,1,0,0,1,0,0,0,0,1723.95,1,1,72,0
0,0,19.75,0,0,0,0,0,0,0,0,19.75,1,0,1,0
0,1,56.45,1,1,0,0,0,0,1,1,3985.35,0,0,71,0
1,1,85.95,1,0,0,0,0,0,0,0,1215.65,0,0,13,0
0,0,58.6,1,0,1,1,1,0,1,0,1502.65,0,0,25,1
0,0,50.55,0,0,0,0,0,1,0,0,3260.1,0,1,67,0
0,1,35.45,1,0,0,0,0,0,0,0,35.45,0,0,1,1
0,1,44.35,0,0,0,0,0,0,0,0,81.25,0,0,2,1
0,0,25.7,1,0,1,0,0,0,0,0,1188.2,1,1,43,0
1,0,75.0,1,0,0,0,0,0,1,0,1778.5,0,0,23,0
0,0,20.2,0,0,0,1,1,0,0,0,1277.75,1,1,64,0
0,0,19.6,1,0,0,0,1,0,0,0,1170.55,1,1,57,0
1,0,70.45,1,1,0,1,0,0,0,0,70.45,0,0,1,1
0,0,88.05,1,1,1,1,1,1,1,0,6425.65,0,1,72,0
0,1,71.15,0,0,0,0,0,1,1,0,563.65,0,0,8,1
1,0,101.05,1,0,0,1,0,0,0,0,5971.25,0,1,61,0
1,0,84.3,1,0,1,0,0,0,1,1,5289.05,0,0,64,0
0,0,23.95,0,1,0,1,0,0,0,0,1756.2,1,1,71,0
1,0,99.05,1,0,1,1,1,1,1,0,6416.7,0,1,65,0
0,0,19.6,0,0,0,0,0,0,0,1,61.35,1,0,3,0
0,1,45.65,1,0,0,0,0,0,0,0,45.65,0,0,1,1
0,0,64.5,0,0,1,0,1,0,0,1,1929.95,0,0,30,0
0,0,69.5,1,0,0,1,1,1,0,0,1071.4,0,0,15,0
0,1,68.55,1,0,0,1,1,1,0,0,564.35,0,0,8,0
1,0,95.0,0,0,0,0,0,0,0,0,655.5,0,0,7,1
1,0,108.15,1,0,1,1,1,0,1,1,7930.55,0,0,70,0
0,1,86.1,0,0,0,1,1,1,1,0,5215.25,0,1,62,0
0,0,19.7,0,0,0,1,1,0,0,0,113.5,1,0,6,0
1,0,80.9,1,0,0,1,1,0,0,0,1152.8,0,0,14,0
1,0,84.15,1,0,0,0,0,0,0,0,1821.95,0,0,22,0
0,0,20.15,0,0,0,1,1,0,0,1,419.9,1,0,22,0
0,0,64.25,0,0,0,1,1,0,1,0,1024.0,0,1,16,0
0,0,25.7,0,0,0,0,0,0,0,0,251.6,1,1,10,0
0,1,56.0,1,0,0,0,1,0,1,0,764.55,0,0,13,0
1,1,82.4,0,0,0,1,0,0,1,0,1592.35,0,0,20,1
1,1,69.7,1,0,0,0,0,0,0,0,135.2,0,0,2,0
0,0,73.9,1,0,0,0,0,1,0,0,3958.25,0,1,53,0
0,0,20.6,0,0,0,1,1,0,0,1,233.9,1,0,11,0
0,0,19.9,0,0,0,1,0,0,0,0,1363.45,1,1,69,0
1,0,70.9,1,0,0,0,0,0,0,0,273.0,0,0,4,1
0,0,89.05,1,0,0,1,0,1,1,0,6254.45,0,1,72,0
0,1,45.3,1,1,0,1,0,0,0,0,2651.2,0,0,58,1
0,1,20.4,0,0,0,1,1,0,0,0,321.4,1,0,16,0
1,0,84.25,1,0,0,1,0,1,1,1,3539.25,0,0,43,0
1,1,104.4,1,0,0,1,0,1,0,0,242.8,0,0,2,1
0,0,81.95,0,0,0,1,0,1,0,0,1181.75,0,1,14,0
1,0,94.85,1,0,0,1,0,0,0,1,5000.2,0,0,53,1
0,0,20.55,0,0,0,0,0,0,0,1,654.55,1,0,32,0
0,1,24.7,0,0,0,1,0,0,0,0,780.2,1,0,34,0
1,0,74.45,1,1,0,0,0,0,0,0,1145.7,0,0,15,1
1,0,76.45,0,1,0,0,0,0,1,0,503.6,0,0,7,1
1,0,105.35,1,0,0,1,1,0,0,0,1559.25,0,0,15,0
0,0,20.55,1,0,1,1,0,0,0,1,1252.0,1,0,61,0
0,0,29.95,0,0,0,0,0,0,0,0,29.95,0,0,1,1
0,0,45.3,0,0,0,0,0,0,0,0,45.3,0,0,1,0
1,0,84.5,0,0,0,0,0,0,0,0,662.65,0,0,8,1
0,0,74.75,0,0,1,1,1,0,1,1,2453.3,0,0,33,0
1,1,79.25,1,0,0,0,0,0,0,0,1111.65,0,0,13,1
0,1,24.8,1,0,0,1,0,0,0,0,24.8,0,0,1,1
0,0,51.8,1,0,0,0,0,0,0,0,1023.85,0,0,20,0
0,1,30.4,0,0,0,0,0,1,0,0,82.15,0,0,3,0
0,1,19.65,0,0,0,0,0,0,0,1,244.8,1,0,13,0
0,0,56.6,0,0,1,1,0,0,0,0,2379.1,0,0,40,0
0,0,71.9,1,0,1,1,1,1,1,1,3173.35,0,0,43,0
1,1,91.0,1,0,0,1,0,0,0,0,531.0,0,0,6,1
0,0,19.75,0,0,0,1,1,0,0,0,1375.4,1,1,69,0
1,0,109.7,0,0,1,1,1,0,1,0,8129.3,0,1,72,0
0,0,19.3,0,0,1,1,1,0,0,0,1192.7,1,1,59,0
1,1,96.55,1,0,0,1,0,1,1,0,1901.65,0,0,20,0
0,0,24.1,1,0,0,1,1,0,0,0,587.4,1,1,24,0
1,1,111.35,1,0,0,0,0,1,0,0,6519.75,0,0,59,0
1,0,112.25,1,0,0,1,1,1,0,0,8041.65,0,1,72,0
0,0,20.75,0,0,0,0,1,0,0,0,20.75,1,0,1,0
1,0,101.9,1,0,1,1,0,1,1,1,2681.15,0,0,27,0
1,0,80.05,1,0,1,0,0,1,0,0,1112.3,0,0,14,0
1,1,105.55,0,0,0,1,1,0,1,0,7405.5,0,1,71,0
1,0,78.3,1,0,1,0,1,0,0,0,1033.95,0,0,13,0
1,0,68.85,0,0,1,0,0,0,0,0,2958.95,0,0,44,0
1,0,79.95,1,0,0,0,0,1,0,1,2684.85,0,0,33,0
0,0,55.45,1,0,1,1,1,1,1,0,4179.2,0,1,72,0
1,1,79.9,0,0,0,0,0,0,0,0,79.9,0,0,1,1
1,1,106.6,1,0,0,0,0,1,1,0,1934.45,0,0,19,1
1,0,102.45,1,0,1,1,0,1,0,1,6654.1,0,0,64,0
0,0,46.0,1,0,1,0,0,0,0,0,84.5,0,0,2,1
0,1,25.25,0,0,0,0,0,0,0,0,25.25,0,0,1,0
0,0,19.75,0,0,0,0,1,0,0,0,1124.2,1,1,61,0
0,1,20.0,0,0,0,1,1,0,0,1,540.05,1,0,29,0
1,1,86.8,0,1,0,1,0,0,0,0,1975.85,0,0,23,0
0,0,58.75,1,0,0,1,0,0,1,0,3437.45,0,0,57,0
0,0,45.25,0,0,1,1,1,1,1,0,3139.8,0,1,72,0
0,0,56.6,1,0,0,1,0,1,1,0,3789.2,0,1,66,0
0,0,84.2,1,0,0,1,1,1,0,0,5324.5,0,1,65,0
1,0,80.0,1,0,0,0,0,0,0,0,624.6,0,0,8,0
1,1,70.15,1,0,0,0,0,0,0,0,268.35,0,0,4,1
0,0,24.75,0,0,0,1,0,0,0,0,1836.9,1,1,71,0
0,1,20.2,1,0,0,1,1,0,0,1,20.2,1,0,1,0
0,0,50.05,0,0,0,1,0,1,0,0,179.35,0,0,4,1
0,0,19.35,1,0,0,0,0,0,0,1,219.35,1,0,12,0
0,0,50.6,1,0,0,0,0,0,1,1,1288.75,0,0,24,0
0,0,81.15,1,0,0,1,1,1,1,1,2545.75,0,0,31,0
0,0,55.2,0,0,0,1,0,0,0,0,55.2,0,0,1,1
1,0,89.9,1,0,1,0,0,1,0,0,2723.15,0,0,30,0
0,0,85.3,1,0,1,1,1,1,1,0,4107.25,0,1,47,0
1,0,108.0,1,0,1,0,0,1,1,0,5760.65,0,1,54,0
1,0,93.5,1,0,1,0,0,1,1,0,4747.5,0,0,50,0
1,0,84.6,1,0,0,0,0,0,1,0,84.6,0,0,1,1
0,0,20.25,0,0,1,0,0,0,0,0,1566.9,1,1,72,0
0,1,25.15,0,0,0,0,0,0,0,0,702.0,1,0,29,0
0,0,54.4,1,0,0,0,0,0,0,0,114.1,0,0,2,1
0,0,29.6,1,0,0,0,0,1,0,0,299.05,0,1,10,0
1,1,73.15,1,0,0,1,0,0,0,0,1305.95,0,0,18,0
1,1,95.0,1,1,0,0,0,0,0,0,1120.3,0,0,11,1
0,0,19.75,0,0,0,0,0,0,0,0,284.35,1,1,16,0
0,0,86.6,0,0,0,0,0,1,0,0,6350.5,0,1,72,0
1,0,109.2,0,0,0,0,0,1,0,0,7878.3,0,1,72,0
0,0,74.7,1,0,1,1,1,1,1,1,3187.65,0,0,41,0
1,1,94.4,0,1,0,1,0,0,1,0,6126.15,0,0,65,0
0,1,54.8,1,1,0,0,0,0,0,0,731.3,0,0,13,0
1,1,75.35,0,1,0,0,0,0,1,0,273.4,0,0,4,0
0,0,65.0,0,0,0,0,0,0,0,1,2531.8,0,0,41,0
1,1,74.4,1,1,0,0,0,0,0,0,1074.3,0,0,15,1
0,0,48.55,1,0,0,0,0,0,1,0,48.55,0,0,1,1
1,1,99.0,1,0,0,0,0,0,1,1,4298.45,0,0,42,0
1,1,93.5,1,0,0,1,0,0,1,1,4619.55,0,0,51,0
1,1,70.4,0,0,0,1,1,0,0,0,147.15,0,0,2,1
0,1,40.2,0,1,0,1,0,0,0,0,40.2,0,0,1,1
0,0,83.7,0,0,1,0,1,1,0,1,2633.3,0,0,32,0
0,0,19.85,1,0,0,0,0,0,0,0,193.05,1,0,10,0
0,1,59.55,1,0,0,1,1,1,0,0,4103.9,0,1,67,0
1,0,115.1,0,0,1,1,1,1,1,0,7008.15,0,1,61,0
1,0,114.35,0,0,1,0,0,1,1,1,5791.1,0,0,50,0
0,0,44.6,1,0,1,1,0,0,0,0,80.55,0,0,2,1
0,1,45.0,1,1,0,1,0,0,1,0,1228.65,0,0,29,0
0,1,41.15,1,1,0,0,0,0,0,0,132.2,0,0,3,1
1,1,106.9,1,1,0,0,0,0,0,0,1364.3,0,0,13,1
1,1,89.85,1,1,0,1,0,0,0,0,4925.35,0,0,57,0
0,0,49.85,1,0,0,0,0,1,1,0,1520.1,0,1,31,0
1,0,113.3,0,0,0,1,0,1,1,1,5032.25,0,0,45,0
0,0,88.1,0,0,0,1,1,1,1,0,5526.75,0,1,61,0
0,0,24.9,0,0,0,0,0,0,0,0,1195.25,1,1,50,0
1,0,105.0,1,1,0,0,0,1,1,0,2007.25,0,0,19,0
0,0,19.35,0,0,0,0,0,0,0,0,1099.6,1,1,59,1
0,0,24.25,1,0,1,1,0,0,0,0,1732.95,1,1,71,0
1,1,94.45,1,1,0,0,0,1,0,0,1511.2,0,0,16,1
0,1,59.75,1,0,0,1,0,1,1,0,3450.15,0,1,57,0
0,0,24.8,0,0,0,0,0,0,0,0,24.8,0,0,1,1
1,1,107.05,0,1,0,1,0,1,0,0,2172.05,0,0,20,0
1,0,70.6,0,0,0,0,0,0,0,0,70.6,0,0,1,1
1,1,85.4,1,0,0,1,0,1,0,0,401.1,0,0,5,1
1,1,105.05,1,0,0,1,0,0,0,0,5624.85,0,0,52,1
0,0,64.95,1,1,0,1,0,0,1,0,1339.8,0,0,21,0
0,1,55.0,1,0,0,0,0,1,0,0,771.95,0,0,14,0
0,0,50.55,0,0,0,0,0,0,0,0,244.75,0,0,5,0
0,0,55.15,0,0,0,0,0,0,1,0,322.9,0,0,6,0
0,1,51.2,0,0,0,0,0,0,0,0,498.25,0,0,10,0
0,0,25.4,0,0,0,0,1,0,0,0,25.4,1,0,1,0
0,0,54.45,0,0,0,0,0,0,1,0,3687.75,0,0,68,0
1,0,95.15,0,0,0,1,1,0,0,0,1779.95,0,0,18,1
1,0,76.0,1,0,1,0,0,0,0,1,1783.6,0,0,22,0
0,1,44.35,1,0,0,0,0,0,0,0,927.15,0,0,20,0
1,1,70.0,0,0,0,1,0,0,0,0,70.0,0,0,1,1
1,1,74.5,1,1,0,0,0,0,0,0,606.55,0,0,8,1
0,0,44.85,1,0,1,0,0,0,0,0,435.4,0,0,10,1
1,1,76.1,1,1,0,0,0,0,0,0,1712.7,0,0,24,1
0,0,61.2,0,0,0,0,0,0,1,1,2021.2,0,0,35,0
1,0,86.8,0,0,0,1,1,1,0,1,1940.8,0,0,23,0
1,1,89.35,1,1,0,0,0,0,0,0,567.8,0,0,6,0
0,0,19.7,0,0,0,0,0,0,0,0,220.35,1,0,12,0
0,0,20.25,0,0,0,0,0,0,0,0,20.25,1,0,1,0
1,1,76.05,0,0,0,1,1,0,0,0,5436.45,0,1,71,0
1,1,100.8,1,1,0,1,0,0,0,0,3437.5,0,0,35,0
0,1,74.55,1,0,0,1,1,0,0,0,3015.75,0,0,40,0
1,0,73.6,1,0,0,0,1,0,1,0,73.6,0,0,1,1
0,0,64.9,1,0,0,0,0,0,0,1,1509.8,0,0,23,0
1,1,95.45,1,1,0,0,0,0,0,0,396.1,0,0,4,1
1,1,90.4,1,0,0,0,0,1,0,0,356.65,0,0,4,0
0,0,60.3,0,0,1,1,1,1,0,0,4109.0,0,1,68,0
1,0,81.85,1,0,0,0,1,0,0,0,3141.7,0,0,38,0
0,0,24.8,0,0,0,1,1,0,0,0,1229.1,1,1,52,0
1,1,74.9,1,1,0,1,0,0,0,0,2303.35,0,0,32,1
0,0,75.55,0,0,0,1,1,1,0,0,2054.4,0,1,29,0
1,1,101.15,0,1,0,1,1,0,0,0,3741.85,0,0,38,0
0,0,78.75,1,0,1,0,1,0,1,1,3682.45,0,0,48,0
0,0,19.25,1,0,0,0,0,0,0,0,19.25,1,0,1,0
1,1,89.05,1,0,0,0,0,1,1,0,1886.25,0,0,22,0
1,0,115.05,0,0,1,0,0,1,1,0,4895.1,0,1,43,0
1,1,69.35,1,1,0,1,0,0,0,0,341.6,0,0,5,0
1,1,80.6,1,0,0,0,0,0,0,0,415.55,0,0,5,1
1,0,110.05,0,0,1,1,1,1,1,1,5686.4,0,0,51,0
0,0,19.9,1,0,1,0,0,0,0,0,1355.1,1,1,71,0
0,0,80.3,0,0,1,1,1,1,1,1,3058.65,0,0,38,1
1,1,93.15,1,1,0,1,0,0,0,0,2231.05,0,0,24,1
1,0,91.5,1,0,1,1,0,1,0,0,3236.35,0,0,35,0
0,0,82.45,0,1,0,0,0,1,1,1,4350.1,0,0,54,1
0,1,60.0,1,0,0,1,1,1,0,0,4264.0,0,1,72,0
0,1,44.8,1,0,0,0,0,0,0,0,44.8,0,0,1,0
0,0,48.6,0,0,0,1,1,0,1,1,422.3,0,0,9,0
0,0,60.05,1,0,0,0,0,1,1,0,4176.7,0,1,69,0
1,0,102.7,1,0,1,1,0,1,0,0,5138.1,0,0,52,0
1,1,82.9,1,1,0,1,0,1,0,0,880.05,0,0,11,0
1,1,70.35,1,1,0,0,0,0,0,0,139.05,0,0,2,1
0,1,35.9,1,1,0,1,1,0,0,0,973.65,0,0,28,0
1,0,82.65,1,1,1,0,0,0,0,0,1470.05,0,0,17,0
0,0,19.85,1,0,0,1,1,0,0,0,739.35,1,1,35,0
0,0,19.2,1,0,0,0,0,0,0,1,161.95,1,0,8,0
1,0,94.9,1,0,1,0,0,0,0,1,4422.95,0,0,46,0
1,1,73.85,1,0,0,0,0,0,0,0,511.25,0,0,7,1
1,0,80.6,0,0,0,0,0,0,0,0,155.8,0,0,2,1
0,0,75.8,1,0,0,1,1,1,0,1,5293.95,0,0,68,1
1,1,104.6,1,0,0,0,0,0,0,0,4759.85,0,1,43,1
0,1,88.15,1,0,0,0,0,1,1,0,6148.45,0,1,68,0
1,0,94.8,1,0,1,0,0,0,0,0,3565.65,0,0,36,0
1,1,103.4,1,0,0,1,0,0,0,0,6603.0,0,0,63,1
0,0,54.65,0,1,0,0,0,1,0,0,1830.1,0,0,32,0
0,0,85.75,0,0,1,1,0,1,1,0,6223.8,0,1,71,0
0,0,67.45,1,0,0,1,1,0,1,0,4508.65,0,0,66,0
0,0,20.5,0,0,0,0,0,0,0,1,1328.15,1,0,63,0
0,0,20.25,1,0,1,0,1,0,0,1,865.0,1,0,41,0
1,1,72.1,1,1,0,0,0,0,0,0,72.1,0,0,1,0
1,1,90.4,1,0,0,0,0,0,0,0,168.2,0,0,2,1
0,0,19.45,0,0,0,1,0,0,0,0,1303.5,1,1,70,0
0,1,44.95,1,0,0,0,0,0,0,0,996.85,0,0,23,0
1,0,97.0,0,1,0,1,0,0,1,1,6430.9,0,0,64,0
0,0,62.8,1,0,1,1,1,1,1,0,2278.75,0,1,37,0
0,0,44.6,0,0,0,0,1,0,0,1,681.4,0,0,17,0
1,1,89.15,1,1,0,0,0,0,0,0,574.35,0,0,7,0
1,0,84.8,1,0,0,1,1,0,0,0,371.9,0,0,4,1
0,1,41.9,1,1,0,0,0,0,1,0,840.1,0,0,21,1
1,0,80.25,1,0,0,0,0,0,0,0,846.0,0,0,10,1
0,1,54.1,1,1,0,0,0,0,1,0,889.0,0,0,16,0
1,1,105.25,1,0,0,1,0,1,0,0,6823.4,0,1,64,0
0,0,30.75,0,1,1,1,0,0,1,0,805.1,0,0,27,1
1,1,97.1,0,0,0,1,1,0,1,1,4016.75,0,0,42,0
0,0,20.2,0,0,0,0,1,0,0,0,83.75,1,0,5,0
1,0,98.8,1,0,0,0,0,1,0,0,3959.15,0,1,41,0
0,0,50.3,0,0,1,1,0,0,0,1,2878.55,0,0,58,0
0,0,20.55,1,0,0,0,0,0,0,0,945.7,1,1,47,0
1,0,75.9,1,0,0,0,0,1,0,0,1373.05,0,0,18,0
1,0,96.5,0,0,0,0,0,0,0,0,492.55,0,0,5,1
0,0,59.95,1,0,0,1,0,0,1,0,1406.0,0,0,23,0
0,0,19.15,0,0,0,0,0,0,0,0,19.15,1,0,1,0
1,0,98.65,1,0,1,1,0,0,0,1,6962.85,0,0,71,0
1,0,112.6,1,0,1,1,1,1,1,0,8126.65,0,1,72,0
0,0,20.6,0,0,0,1,1,0,0,1,690.25,1,0,33,0
1,1,85.65,1,0,0,0,0,0,0,0,181.5,0,0,2,1
0,0,35.75,0,0,0,0,1,1,1,0,830.8,0,1,24,0
1,0,99.75,1,0,1,1,1,1,0,1,5608.4,0,0,56,0
